,time,money
0,2018-05-01,15.0
1,2018-05-01,493.95
2,2018-05-01,49.8
3,2018-05-01,140.0
4,2018-05-01,100.0
5,2018-05-01,21.8
6,2018-05-01,4.44
7,2018-05-01,1.09
8,2018-05-01,2.32
9,2018-05-01,0.0
10,2018-05-01,0.0
11,2018-05-01,115.0
12,2018-05-01,20.0
13,2018-05-01,12.0
14,2018-05-01,240.46
15,2018-05-01,43.68
16,2018-05-01,14.0
17,2018-05-01,125.0
18,2018-05-01,92.39
19,2018-05-01,6.11
20,2018-05-01,155.62
21,2018-05-01,338.76
22,2018-05-01,7.36
23,2018-05-01,18.0
24,2018-05-01,55.8
25,2018-05-01,50.0
26,2018-05-01,75.0
27,2018-05-01,63.74
28,2018-05-01,1419.01
29,2018-05-01,127.34
30,2018-05-01,23.69
31,2018-05-01,11.0
32,2018-05-01,36.8
33,2018-05-01,116.8
34,2018-05-01,18.06
35,2018-05-01,78.0
36,2018-05-01,101.2
37,2018-05-01,108.1
38,2018-05-01,275.31
39,2018-05-01,133.6
40,2018-05-01,0.0
41,2018-05-01,151.0
42,2018-05-01,49.1
43,2018-05-01,130.0
44,2018-05-01,14.0
45,2018-05-01,60.0
46,2018-05-01,2.5
47,2018-05-01,8.67
48,2018-05-01,10.0
49,2018-05-01,2500.0
50,2018-05-01,123.13
51,2018-05-01,50.0
52,2018-05-01,88.0
53,2018-05-01,73.4
54,2018-05-01,2.74
55,2018-05-01,98.65
56,2018-05-01,70.73
57,2018-05-01,81.0
58,2018-05-01,1.0
59,2018-05-01,3.47
60,2018-05-01,97.0
61,2018-05-01,281.36
62,2018-05-01,34.52
63,2018-05-01,20.59
64,2018-05-01,6.21
65,2018-05-01,208.0
66,2018-05-01,0.0
67,2018-05-01,91.28
68,2018-05-01,56.96
69,2018-05-01,58.25
70,2018-05-01,21.47
71,2018-05-01,616.4
72,2018-05-01,0.0
73,2018-05-01,497.58
74,2018-05-01,4.44
75,2018-05-01,8.22
76,2018-05-01,16.64
77,2018-05-01,63.17
78,2018-05-01,101.2
79,2018-05-01,101.41
80,2018-05-01,6.41
81,2018-05-01,45.47
82,2018-05-01,0.0
83,2018-05-01,100.43
84,2018-05-01,130.62
85,2018-05-01,22.0
86,2018-05-01,85.64
87,2018-05-01,50.58
88,2018-05-01,12.0
89,2018-05-01,264.34
90,2018-05-01,209.5
91,2018-05-01,25.74
92,2018-05-01,158.72
93,2018-05-01,73.48
94,2018-05-01,155.2
95,2018-05-01,37.97
96,2018-05-01,64.91
97,2018-05-01,377.0
98,2018-05-01,53.55
99,2018-05-01,5.7
100,2018-05-01,356.97
101,2018-05-01,82.04
102,2018-05-01,7.46
103,2018-05-01,388.16
104,2018-05-01,25.0
105,2018-05-01,69.7
106,2018-05-01,1.19
107,2018-05-01,77.0
108,2018-05-01,86.4
109,2018-05-01,1.1
110,2018-05-01,428.0
111,2018-05-01,16.0
112,2018-05-01,504.9
113,2018-05-01,37.98
114,2018-05-01,30.0
115,2018-05-01,247.42
116,2018-05-01,170.0
117,2018-05-01,33.61
118,2018-05-01,59.18
119,2018-05-01,2.14
120,2018-05-01,2.76
121,2018-05-01,6.0
122,2018-05-01,0.0
123,2018-05-01,10.0
124,2018-05-01,108.23
125,2018-05-01,7.2
126,2018-05-01,244.98
127,2018-05-01,66.44
128,2018-05-01,321.0
129,2018-05-01,151.54
130,2018-05-01,20.7
131,2018-05-01,2.82
132,2018-05-01,85.8
133,2018-05-01,14.0
134,2018-05-01,66.89
135,2018-05-01,0.0
136,2018-05-01,54.43
137,2018-05-01,90.0
138,2018-05-01,112.22
139,2018-05-01,178.3
140,2018-05-01,10.0
141,2018-05-01,420.0
142,2018-05-01,20.31
143,2018-05-01,13.2
144,2018-05-01,0.0
145,2018-05-01,14.0
146,2018-05-01,96.56
147,2018-05-01,63.1
148,2018-05-01,132.81
149,2018-05-01,159.57
150,2018-05-01,118.7
151,2018-05-01,1.18
152,2018-05-01,25.0
153,2018-05-01,151.82
154,2018-05-01,112.0
155,2018-05-01,99.0
156,2018-05-01,440.0
157,2018-05-01,83.72
158,2018-05-01,0.0
159,2018-05-01,20.0
160,2018-05-01,3.0
161,2018-05-01,417.4
162,2018-05-01,242.71
163,2018-05-01,12.0
164,2018-05-01,179.2
165,2018-05-01,26.21
166,2018-05-01,0.76
167,2018-05-01,0.94
168,2018-05-01,44.58
169,2018-05-01,21.54
170,2018-05-01,94.83
171,2018-05-01,0.0
172,2018-05-01,72.19
173,2018-05-01,9.13
174,2018-05-01,0.0
175,2018-05-01,412.79
176,2018-05-01,10.9
177,2018-05-01,0.0
178,2018-05-01,110.0
179,2018-05-01,22.0
180,2018-05-01,40.78
181,2018-05-01,21.8
182,2018-05-01,94.88
183,2018-05-01,76.68
184,2018-05-01,8.88
185,2018-05-01,203.59
186,2018-05-01,35.09
187,2018-05-01,35.33
188,2018-05-01,226.23
189,2018-05-01,82.43
190,2018-05-01,4.0
191,2018-05-01,103.34
192,2018-05-01,21.18
193,2018-05-01,46.8
194,2018-05-01,90.72
195,2018-05-01,438.0
196,2018-05-01,50.7
197,2018-05-01,16.0
198,2018-05-01,1.2
199,2018-05-01,370.56
200,2018-05-01,49.7
201,2018-05-01,54.65
202,2018-05-01,26.0
203,2018-05-01,136.32
204,2018-05-01,18.0
205,2018-05-01,69.41
206,2018-05-01,68.0
207,2018-05-01,29.18
208,2018-05-01,10.5
209,2018-05-01,19.53
210,2018-05-01,101.83
211,2018-05-01,13.88
212,2018-05-01,20.4
213,2018-05-01,0.0
214,2018-05-01,108.0
215,2018-05-01,16.0
216,2018-05-01,130.0
217,2018-05-01,9.8
218,2018-05-01,18.0
219,2018-05-01,4.8
220,2018-05-01,15.84
221,2018-05-01,22.0
222,2018-05-01,12.0
223,2018-05-01,44.3
224,2018-05-01,50.0
225,2018-05-01,30.93
226,2018-05-01,1.87
227,2018-05-01,280.0
228,2018-05-01,18.0
229,2018-05-01,14.0
230,2018-05-01,38.93
231,2018-05-01,30.13
232,2018-05-01,78.44
233,2018-05-01,20.0
234,2018-05-01,10.0
235,2018-05-01,24.58
236,2018-05-01,6.24
237,2018-05-01,133.45
238,2018-05-01,154.3
239,2018-05-01,11.42
240,2018-05-01,9.0
